"","V1","V2","V3","V4"
"(Intercept)",13.7865457548267,6.95947720707122,-29.9756722294168,9.22964926751889
"(Intercept)",0,0,0,0
"RaceWhite",-0.273681609512812,-0.190759611849135,0.196924432380491,0.267516788981455
"Age",-0.182778131069106,0.0345296272759709,0.244304226441099,-0.096055722647964
"SexMale",-0.0787547204160144,-0.51635467561776,-1.5838045655373,2.17891396157107
"BMI",-0.116310309712504,-0.242755176306819,0.444730964371681,-0.0856654783523587
"Weight_StatusNormal Weight",-9.65816529669467,0.908453689758541,20.0113746806155,-11.2616630736794
"Weight_StatusOverweight",-6.73197175490984,3.16133913590297,18.9211926751416,-15.3505600561347
"Weight_StatusObese",-9.86817341655277,5.33587818888396,16.8182607294819,-12.2859655018131
"Weight_StatusSevere Obesity",31.4750887494373,40.781904494431,-94.1934234280886,21.9364301842203
"Weight_StatusMorbid Obesity",-1.86765437632099,11.2976954149289,18.8633102697252,-28.2933513083331
"Weight_StatusSuper Obese",17.6909647727796,-45.4364964319862,65.9328297235849,-38.1872980643782
"denovo138",0,0,0,0
"denovo371",0,0,0,0
"denovo419",0,0,0,0
"denovo696",0,0,0,0
"denovo811",0,0,0,0
"denovo1213",0,0,0,0
"denovo1263",0,0,0,0
"denovo1467",0,0,0,0
"denovo2177",0,0,0,0
"denovo2570",0,0,0,0
"denovo3139",0,0,0,0
"denovo3200",0,0,0,0
"denovo3226",0,0,0,0
"denovo3381",0,0,0,0
"denovo4371",0,0,0,0
"denovo4487",0,0,0,0
"denovo4521",0,0,0,0
"denovo4932",0,0,0,0
"denovo5251",0,0,0,0
"denovo5519",0,0,0,0
"denovo6853",0,0,0,0
"denovo7027",0,0,0,0
"denovo7272",0,0,0,0
"denovo7664",0,0,0,0
"denovo7738",0,0,0,0
"denovo8137",0,0,0,0
"denovo8380",0,0,0.0276610912770288,0
"denovo8509",0,0,0,0
"denovo8551",0,0,0,0
"denovo8634",0.276136717751596,0,0,0
"denovo8924",0,0,0,0
"denovo8988",0,0,0,0
"denovo10006",0,0,0,0
"denovo11148",0,0,0,0
"denovo11541",0,0,0,0
"denovo11589",0,0,0,0
"denovo11877",0,0,0,0
"denovo11892",0,0,0,0
"denovo11955",0,0,0,0
"denovo12231",0,0,0,0
"denovo12654",0,0,0,0
"denovo12806",0,0,0,0
"denovo12863",0,0,0,0
"denovo12873",0,0,0,0
"denovo12999",0,0,0,0
"denovo13064",0,0,0,0
"denovo13288",0,0,0,0
"denovo14164",0,0,0,0
"denovo14382",0,0,0,0
"denovo14409",0,0,0,0
"denovo14433",0,0,0,0
"denovo14921",0,0,0,0
"denovo15217",0,0,0,0
"denovo15306",0,0,0,0
"denovo15694",0,0,0,0
"denovo15742",0,0,0,0
"denovo15931",0,0,0,0
"denovo15947",0,0,0,0
"denovo16313",0,0,0,0
"denovo16354",0,0,0,0
"denovo16704",0,0,0,0
"denovo16774",0,0,0,0
"denovo16974",0,0,0,0
"denovo17668",0,0,0,0
"denovo17713",0,0,0,0
"denovo17837",0,0,0,0
"denovo17839",0,0,0,0
"denovo17874",0,0,0,0
"denovo17919",0,0,0,0
"denovo18011",0,0,0,0
"denovo18458",0,0,0,0
"denovo18811",0,0,0,0
"denovo19058",0,0,0,0
"denovo19178",0,0,0,0
"denovo19605",0,0,0,0
"denovo20275",0,0,0,0
"denovo20391",0,0,0,0
"denovo20399",0,0,0,0
"denovo20682",0,0,0,0
"denovo20749",0,0,0,0
"denovo21005",0,0,0,0
"denovo21535",0,0,0,0
"denovo22087",0,0,0,0
"denovo22620",0,0,0,0
"denovo23095",0,0,0,0
"denovo23110",0,0,0,0
"denovo23200",0,0,0,0
"denovo23343",0,0,0,0
"denovo23512",0,0,0,0
"denovo23998",0,0,0,0
"denovo24858",0,0,0,0
"denovo25292",0,0,0,0
"denovo25313",0,0,0,0
"denovo25652",0,0,0,0
"denovo25817",0,0,0,0
"denovo25858",0,0,0,0
"denovo26658",0,0,0,0
"denovo26668",0,0,0,0
"denovo26789",0,0,0,0
"denovo26808",0,0,0,0
"denovo26819",0,0,0,0
"denovo27233",0,0,0,0
"denovo27315",0,0,0,0
"denovo27464",0,0,0,0
"denovo27672",0,0,0,0
"denovo27689",0,0,0,0
"denovo27805",0,0,0,0
"denovo27906",0,0,0,0
"denovo28180",0,0,0,0
"denovo28430",0,0.00209707655726852,0,0
"denovo28461",0,0,0,0
"denovo28571",0,0,0,0
"denovo28700",0,0,0,0
"denovo29393",0,0,0,0
"denovo29820",0,0,0,0
"denovo29894",0,0,0,0
"denovo30156",0,0,0,0
"denovo30191",0,0,0,0
"denovo30802",0,0,0,0
"denovo30818",0,0,0,0
"denovo31096",0,0,0,0
"denovo31330",0,0,0,0
"denovo31378",0,0,0,0
"denovo31469",0,0,0,0
"denovo31518",0,0,0,0
"denovo32942",0,0,0,0
"denovo33114",0,0,0,0
"denovo33132",0,0,0,0
"denovo33133",0,0,0,0
"denovo33309",0,0,0,0
"denovo33465",0,0,0,0
"denovo33532",0,0,0,0
"denovo33611",0,0.0488710445753513,0,0
"denovo33875",0,0,0,0
"denovo33918",0,0,0,0
"denovo34013",0,0,0,0
"denovo34069",0,0,0,0
"denovo34312",0,0,0,0
"denovo34706",0,0,0,0
"denovo34917",0,0,0,0
"denovo35257",0,0,0,0
"denovo35294",0,0,0,0
"denovo35521",0,0,0,0
"denovo35570",0,0,0,0
"denovo36521",0,0,0,0
"denovo36545",0,0,0,0
"denovo36903",0,0,0,0
"denovo37043",0,0,0,0
"denovo37192",0,0,0,0
"denovo37295",0,0,0,0
"denovo37376",0,-0.315524029555412,0,0
"denovo37566",0,0,0,0
"denovo37727",0,0,0,0
"denovo37783",0,0,0,0
"denovo38298",0,0,0,0
"denovo38379",0,0,0,0
"denovo38753",0,0,0,0
"denovo38965",0,0,0,0
"denovo39002",0,0,0,0
"denovo39311",0,0,0,0
"denovo39462",0,0,0,0
"denovo39784",0,0,0,0
"denovo39868",0,0,0,0
"denovo39965",0,0,0,0
"denovo40056",0,0,0,0
"denovo40156",0,0,0,0
"denovo40665",0,0,0,0
"denovo41012",0,0,0,0
"denovo41355",0,0,0,0
"denovo41879",0,0,0,0
"denovo42261",0.00162290505015517,0,0,0
"denovo42531",0,0,0,0
"denovo42740",0,0,0,0
"denovo43097",0,0,0,0
"denovo43743",0,0,0,0
"denovo43942",0,0,0,0
"denovo44194",0,0,0,0
"denovo44274",0,0,0,0
"denovo44463",0,0,0,0
"denovo44613",0,0,0,0
"denovo44660",0,0,0,0
"denovo44773",0,0,0,0
"denovo44778",0,0,0,0
"denovo44854",0,0,0,0
"denovo45587",0,0,0,0
"denovo45646",0,0,0,0
"denovo45673",0,0,0,0
"denovo45850",0,0,0,0
"denovo46026",0,0,0,0
"denovo46070",0,0,0,0
"denovo46420",0,0,0,0
"denovo46469",0,0,0,0
"denovo46509",0,0,0,0
"denovo46992",0,0,0,0
"denovo46995",0.0917316376900964,-0.540291452048458,0,0
"denovo47392",0,0,0,0
"denovo47749",0,0,0,0
"denovo47760",0,0,0,0
"denovo47780",0,0,0,0
"denovo47803",0,0,0,0
"denovo47836",0,0,0,0
"denovo48111",0,0,0,0
"denovo48337",0,0,0,0
"denovo48503",0,0,0,0
"denovo48650",0,0,0,0
"denovo48830",0,0,0,0
"denovo48976",0,0,0,0
"denovo49380",0,0,0,0
"denovo49777",0,0,0,0
"denovo50444",0,0,0,0
"denovo50657",0,0,0,0
"denovo50705",0,0,0,0
